#          distance                  H2                 H2O                  N2                  O2                  OH                   T                 U_x                 U_y                 U_z
  2.80123387794e-21       0.99999999999   7.40187608018e-13   5.32353641326e-13   1.07428058386e-16   1.62399976685e-19       304.896094778       80.0002639583  -1.22222268121e-12    6.0272158405e-18


              0.001      0.999996477301   1.29144828685e-06   1.87966723799e-06    2.6198263803e-10   2.85661015905e-12       309.209291052       78.4925245214  -1.19918448342e-12   5.76718897186e-18


              0.002      0.999539155666   0.000158744492709   0.000293528418191   2.61112471147e-08   4.28355212148e-10       318.452648193       76.3318480672     0.0650872471099    0.00283906584427


              0.003      0.998289862905   0.000587182659227    0.00109809956608   7.55638563682e-08   1.69054906382e-09       326.677523043       75.2451622168  -1.14957228771e-12    5.5285910648e-18


              0.004      0.993011988222    0.00230873316284    0.00462546459736   2.24757014342e-07   5.77018995304e-09       340.657423786       73.2316726285  -1.11881081729e-12    5.3806511811e-18
              0.005      0.980658034023    0.00616835003435     0.0130870711587   4.49775865552e-07   1.11797918343e-08       358.643830045       70.7866485833  -1.08138148799e-12   8.47285411723e-18
              0.006      0.957855874422     0.0130001823665     0.0290264923639   7.07277803439e-07   1.41246211738e-08       380.895898288       67.8312083015  -1.03628749293e-12   4.98385545438e-18
              0.007      0.921993294653     0.0233054335584      0.054557541183   9.45761645966e-07    1.2721648397e-08       407.595000724       64.3598637622   -9.8325404871e-13   4.72880059321e-18
              0.008      0.872106012627     0.0370571471052     0.0906719638106   1.12515517946e-06   8.94072635769e-09       438.842845846       60.4449174342  -9.23392333368e-13   7.33737692586e-18
              0.009      0.811016253232     0.0532676871093      0.135534712954   1.22148287991e-06   5.42590837189e-09       474.121018265       56.1286016872  -8.57481088678e-13   4.12401377876e-18
               0.01      0.741535500017     0.0710867672894      0.187183048212   1.24220286657e-06   3.12627851833e-09       513.501202845       51.7430993921   -7.9048989448e-13   4.89904237801e-18
              0.011       0.66609337829     0.0898109378164       0.24388935916   1.20383053231e-06   2.01982999383e-09       556.960241748       47.4430571176  -7.24797247943e-13   3.48584884317e-18
              0.012      0.588945958319      0.108408716963      0.302428009066   1.12289948681e-06   2.27209432468e-09       603.888535755       43.3491426391  -6.62256603945e-13   3.18505104648e-18
              0.013      0.514313029478      0.125988931853      0.359469656531   1.01637671414e-06   5.09981073226e-09       653.513022714         39.54793231   -6.0419573843e-13   2.90575950345e-18
              0.014      0.445334026497      0.141972761333      0.412453297465   8.98522292612e-07   1.39657949782e-08       705.034917807       36.0878389533   -5.5133343816e-13   2.65153131586e-18
              0.015      0.383782971419      0.156094424954      0.459870557056   7.79630312988e-07   3.63335682044e-08       757.691598261       32.9831897434  -5.03898832701e-13   2.58973186056e-18
              0.016      0.330206903531      0.168332186162      0.501196159622   6.65928622782e-07   8.57420480844e-08       810.825723393       30.2226418656  -4.61732163591e-13   2.22058964125e-18
              0.017      0.284363282064      0.178801085734      0.536557701056   5.60468485857e-07   1.84257179858e-07       863.924882718       27.7818843004   -4.2443768196e-13   2.27433070606e-18
              0.018      0.245526599663      0.187692955278      0.566488968896    4.6421968351e-07    3.6419287249e-07       916.614049533        25.628757963  -3.91548227883e-13   1.88305690495e-18
              0.019      0.212777401745      0.195223284557      0.591694023921   3.77108271797e-07   6.68969156686e-07       968.619654605       23.7291164648   -3.6251521326e-13   2.21806360225e-18
               0.02      0.185208859958       0.20159487647       0.61287696061   2.98883013172e-07   1.15340411607e-06       1019.63530782       22.0511606694  -3.36889115678e-13   1.62019518935e-18
              0.021      0.161962898516      0.206995972086      0.630707659226   2.29544838482e-07   1.87909057896e-06       1069.28870629       20.5648571555  -3.14183519448e-13   1.51098997157e-18
              0.022      0.142296204796      0.211588722102      0.645767295804   1.69549773397e-07   2.91577163605e-06       1117.51832908       19.2444344755  -2.94004991792e-13   1.56816836261e-18
              0.023      0.125594481684      0.215507229777      0.658536053085   1.19690636681e-07   4.34026656652e-06        1164.2764036       18.0678588391  -2.76033743139e-13   1.32752458756e-18
              0.024      0.111330667851      0.218867323517      0.669425136422   8.05960550435e-08   6.22946900109e-06       1209.54224831       17.0152720404  -2.59952716556e-13   1.25018643321e-18
