#          distance                  H2                 H2O                  N2                  O2                  OH                   T                 U_x                 U_y                 U_z
  2.80123387794e-21       0.99999999999   7.40187608018e-13   5.32353641326e-13   1.07428058386e-16   1.62399976685e-19       304.896094778       80.0002639583  -1.22222268121e-12    6.0272158405e-18
              5e-06      0.999999999982   2.24541260564e-12   1.79171517505e-12   3.48849471155e-16    4.9252110506e-19       305.047189839       79.8853467398    0.00315582942342   4.36391374425e-18
              1e-05      0.999999999974   3.75063760325e-12   3.05107670878e-12   5.90270883923e-16   8.22642233435e-19       305.198284901       79.7704295213    0.00631165884806   2.71050543121e-18
            1.5e-05      0.999999999966   5.25586260087e-12    4.3104382425e-12   8.31692296692e-16   1.15276336181e-18       305.349379962       79.6555123029     0.0094674882727   1.19262238973e-18
              2e-05      0.999999999958   6.76108759849e-12   5.56979977622e-12   1.07311370946e-15   1.48288449018e-18       305.500475024       79.5405950844     0.0126233176973  -4.87890977618e-19
            2.5e-05       0.99999999995    8.2663125961e-12   6.82916130995e-12   1.31453512223e-15   1.81300561856e-18       305.651570085       79.4256778659      0.015779147122  -2.11419423635e-18
              3e-05      0.999999999942   9.77153759372e-12   8.08852284367e-12     1.555956535e-15   2.14312674693e-18       305.802665147       79.3107606475     0.0189349765466  -3.95733792957e-18
            3.5e-05      0.999999999934   1.12767625913e-11    9.3478843774e-12   1.79737794777e-15   2.47324787531e-18       305.953760208        79.195843429     0.0220908059713  -5.31259064518e-18
              4e-05      0.999999999926    1.2781987589e-11   1.06072459111e-11   2.03879936053e-15   2.80336900368e-18       306.104855269       79.0809262105     0.0252466353959   -7.1557343384e-18
            4.5e-05      0.999999999918   1.42872125866e-11   1.18666074448e-11    2.2802207733e-15   3.13349013206e-18       306.255950331       78.9660089921     0.0284024648205  -8.67361737988e-18
              5e-05       0.99999999991   1.57924375842e-11   1.31259689786e-11   2.52164218607e-15   3.46361126043e-18       306.407045392       78.8510917736     0.0315582942452  -1.04083408559e-17
            5.5e-05      0.999999999902   1.72976625818e-11   1.43853305123e-11   2.76306359884e-15   3.79373238881e-18       306.558140454       78.7361745551     0.0347141236698  -1.19262238973e-17
              6e-05      0.999999999894   1.88028875794e-11    1.5644692046e-11   3.00448501161e-15   4.12385351718e-18       306.709235515       78.6212573367     0.0378699530945  -1.37693675906e-17
            6.5e-05      0.999999999887    2.0308112577e-11   1.69040535797e-11   3.24590642438e-15   4.45397464556e-18       306.860330577       78.5063401182     0.0410257825191  -1.53956708493e-17
              7e-05      0.999999999879   2.18133375747e-11   1.81634151135e-11   3.48732783714e-15   4.78409577393e-18       307.011425638       78.3914228997     0.0441816119437   -1.7021974108e-17
            7.5e-05      0.999999999871   2.33185625723e-11   1.94227766472e-11   3.72874924991e-15   5.11421690231e-18         307.1625207       78.2765056812     0.0473374413684  -1.88651178012e-17
              8e-05      0.999999999863   2.48237875699e-11   2.06821381809e-11   3.97017066268e-15   5.44433803068e-18       307.313615761       78.1615884628      0.050493270793  -2.03830008427e-17
            8.5e-05      0.999999999855   2.63290125675e-11   2.19414997146e-11   4.21159207545e-15   5.77445915905e-18       307.464710823       78.0466712443     0.0536491002177  -2.19008838842e-17
              9e-05      0.999999999847   2.78342375651e-11   2.32008612484e-11   4.45301348822e-15   6.10458028743e-18       307.615805884       77.9317540258     0.0568049296423  -2.38524477947e-17
            9.5e-05      0.999999999839   2.93394625627e-11   2.44602227821e-11   4.69443490099e-15    6.4347014158e-18       307.766900946       77.8168368074     0.0599607590669  -2.55871712707e-17
             0.0001      0.999999999629   9.78321414412e-11   9.08982792217e-11   1.68412123413e-14   2.13510096149e-17       308.149019896       77.5939705087     0.0641962530743   4.70943076587e-05
           0.000105      0.999999999189   2.42261273911e-10   2.31222394231e-10   4.24838082237e-14   5.28021053511e-17       308.793025719       77.2487339774      0.069655646405   0.000147574354001
            0.00011      0.999999998749    3.8669040638e-10    3.7154650924e-10   6.81264041061e-14   8.42532010874e-17       309.437031542        76.903497446     0.0751150397357   0.000248054400343
           0.000115       0.99999999831    5.3111953885e-10   5.11870624249e-10   9.37689999885e-14   1.15704296824e-16       310.081037366       76.5582609147     0.0805744330664   0.000348534446684
